12901,13217,16211,13745,46884,13435,25741,24002,total,g1,g2,g3,g4,g5,g6,g7,g8
12091 -1,13217 1,16211 1,13745 -1,46884 -1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 -1,13435 -1,25741 1,24002 1,total 1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 -1
12901 1,13217 1,16211 -1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 1,13745 1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 1,g3 -1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12901 1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 1,total -1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 -1,g7 1,g8 1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 -1
12901 1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 1,g7 1,g8 -1
12901 1,13217 -1,16211 1,13745 -1,46884 -1,13435 1,25741 -1,24002 1,total -1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 1,g7 1,g8 1
12091 -1,13217 -1,16211 1,13745 -1,46884 1,13435 1,25741 -1,24002 1,total -1,g1 1,g2 1,g3 1,g4 -1,g5 -1,g6 1,g7 -1,g8 1
12091 -1,13217 1,16211 -1,13745 1,46884 -1,13435 -1,25741 1,24002 -1,total 1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 -1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 -1
12901 1,13217 1,16211 1,13745 -1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 -1,46884 1,13435 -1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 -1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 1,total -1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 1,g7 1,g8 1
12091 -1,13217 1,16211 -1,13745 -1,46884 1,13435 -1,25741 1,24002 1,total -1,g1 1,g2 1,g3 1,g4 -1,g5 -1,g6 -1,g7 1,g8 -1
12901 1,13217 -1,16211 1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 1,g3 -1,g4 -1,g5 -1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 1,13745 1,46884 -1,13435 -1,25741 -1,24002 1,total -1,g1 -1,g2 -1,g3 -1,g4 1,g5 -1,g6 1,g7 -1,g8 -1
12091 -1,13217 -1,16211 1,13745 -1,46884 -1,13435 1,25741 1,24002 -1,total -1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 1,g7 -1,g8 -1
12091 -1,13217 -1,16211 1,13745 -1,46884 -1,13435 -1,25741 -1,24002 1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 1
12091 -1,13217 -1,16211 1,13745 1,46884 1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 1,g2 1,g3 -1,g4 1,g5 -1,g6 -1,g7 -1,g8 -1
12901 1,13217 -1,16211 -1,13745 1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 -1
12091 -1,13217 1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total 1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 1,g8 1
12091 -1,13217 1,16211 -1,13745 -1,46884 -1,13435 1,25741 -1,24002 -1,total -1,g1 1,g2 -1,g3 -1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12901 1,13217 1,16211 -1,13745 1,46884 -1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12091 -1,13217 1,16211 -1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 1,total -1,g1 1,g2 -1,g3 1,g4 -1,g5 1,g6 1,g7 1,g8 1
12091 -1,13217 1,16211 1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 1,g2 1,g3 -1,g4 1,g5 1,g6 1,g7 1,g8 -1
12901 1,13217 1,16211 -1,13745 1,46884 1,13435 1,25741 1,24002 -1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 1,46884 1,13435 1,25741 -1,24002 -1,total -1,g1 1,g2 1,g3 -1,g4 1,g5 1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 1,g7 -1,g8 1
12091 -1,13217 -1,16211 1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 1,g7 1,g8 -1
12901 1,13217 1,16211 -1,13745 1,46884 -1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 -1,g5 -1,g6 -1,g7 -1,g8 1
12901 1,13217 -1,16211 1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 1,13745 1,46884 -1,13435 1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 1,g4 1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 1,g8 1
12091 -1,13217 1,16211 -1,13745 1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12901 1,13217 -1,16211 -1,13745 -1,46884 -1,13435 1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12901 1,13217 1,16211 1,13745 1,46884 -1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 1,g3 -1,g4 -1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 -1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 1,g7 -1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 -1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 1,g2 1,g3 1,g4 -1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 1,46884 1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 -1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 1,total -1,g1 1,g2 1,g3 -1,g4 1,g5 1,g6 1,g7 1,g8 1
12091 -1,13217 -1,16211 1,13745 -1,46884 -1,13435 1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 1,13745 1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 1,24002 -1,total -1,g1 1,g2 1,g3 -1,g4 1,g5 1,g6 1,g7 1,g8 -1
12091 -1,13217 -1,16211 1,13745 1,46884 1,13435 1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 1,g4 1,g5 -1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 1,46884 -1,13435 1,25741 -1,24002 -1,total -1,g1 1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 -1
12901 1,13217 1,16211 1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12901 1,13217 1,16211 -1,13745 -1,46884 -1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 -1,g4 1,g5 1,g6 -1,g7 1,g8 -1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12091 -1,13217 1,16211 1,13745 1,46884 1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 1,25741 -1,24002 1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 1,g8 -1
12901 1,13217 1,16211 1,13745 1,46884 -1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 1,g2 1,g3 -1,g4 1,g5 1,g6 1,g7 1,g8 1
12091 -1,13217 1,16211 -1,13745 -1,46884 1,13435 -1,25741 1,24002 1,total -1,g1 1,g2 -1,g3 -1,g4 1,g5 1,g6 1,g7 -1,g8 -1
12901 1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 1,g2 1,g3 1,g4 -1,g5 -1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 1,g4 -1,g5 1,g6 1,g7 1,g8 1
12091 -1,13217 -1,16211 -1,13745 1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 1,g4 -1,g5 -1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 1,13745 1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 1,24002 1,total 1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 -1,total -1,g1 1,g2 -1,g3 1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12901 1,13217 -1,16211 1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 -1,g8 -1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 -1,g2 -1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12091 -1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 -1,g4 1,g5 -1,g6 -1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 -1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 -1,13435 -1,25741 1,24002 -1,total 1,g1 1,g2 -1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12091 -1,13217 1,16211 -1,13745 -1,46884 1,13435 1,25741 1,24002 -1,total 1,g1 1,g2 1,g3 -1,g4 1,g5 1,g6 1,g7 1,g8 1
12091 -1,13217 1,16211 -1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 -1,13435 -1,25741 1,24002 1,total 1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 1,g2 -1,g3 1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 1,g4 -1,g5 -1,g6 -1,g7 -1,g8 1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 1,total -1,g1 -1,g2 1,g3 1,g4 -1,g5 1,g6 1,g7 -1,g8 1
12901 1,13217 -1,16211 -1,13745 1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 -1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 1,13435 1,25741 1,24002 -1,total -1,g1 -1,g2 1,g3 1,g4 -1,g5 -1,g6 1,g7 -1,g8 1
12901 1,13217 -1,16211 -1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 1,g2 -1,g3 -1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12091 -1,13217 1,16211 1,13745 1,46884 1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
12901 1,13217 -1,16211 -1,13745 1,46884 -1,13435 -1,25741 -1,24002 1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 1,g7 1,g8 -1
12901 1,13217 1,16211 -1,13745 -1,46884 1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 -1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 -1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 -1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 1,16211 -1,13745 1,46884 1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 1,g7 1,g8 1
12901 1,13217 -1,16211 -1,13745 -1,46884 1,13435 -1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 1,g6 -1,g7 -1,g8 1
12901 1,13217 1,16211 -1,13745 -1,46884 -1,13435 1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 1,g7 -1,g8 1
12901 1,13217 1,16211 1,13745 -1,46884 -1,13435 -1,25741 1,24002 -1,total -1,g1 -1,g2 -1,g3 1,g4 -1,g5 -1,g6 1,g7 1,g8 -1
12091 -1,13217 -1,16211 1,13745 1,46884 1,13435 1,25741 1,24002 1,total 1,g1 1,g2 1,g3 1,g4 1,g5 -1,g6 -1,g7 -1,g8 -1
12091 -1,13217 -1,16211 1,13745 -1,46884 1,13435 -1,25741 1,24002 1,total -1,g1 1,g2 -1,g3 1,g4 1,g5 -1,g6 -1,g7 -1,g8 1
12091 -1,13217 1,16211 -1,13745 -1,46884 -1,13435 1,25741 -1,24002 -1,total 1,g1 1,g2 1,g3 -1,g4 1,g5 1,g6 1,g7 -1,g8 1
12901 1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 1,g6 1,g7 1,g8 -1
12091 -1,13217 -1,16211 -1,13745 -1,46884 -1,13435 -1,25741 -1,24002 -1,total -1,g1 -1,g2 -1,g3 -1,g4 -1,g5 -1,g6 -1,g7 -1,g8 -1
